index,poem
395,"burī aur bhalī sab guzar jā.egī 
ye kashtī yūñhī paar utar jā.egī 
milegā na gulchīñ ko gul kā patā 
har ik pañkhuḌī yuuñ bikhar jā.egī 
raheñge na mallāh ye din sadā 
koī din meñ gañgā utar jā.egī 
idhar ek ham aur zamāna udhar 
ye baazī to so bisve har jā.egī 
banāvaT kī sheḳhī nahīñ rahtī shaiḳh 
ye izzat to jā.egī par jā.egī 
na puurī huī haiñ umīdeñ na hoñ 
yūñhī umr saarī guzar jā.egī 
suneñge na 'hālī' kī kab tak sadā 
yahī ek din kaam kar jā.egī"
396,"dhuum thī apnī pārsā.ī kī 
kī bhī aur kis se āshnā.ī kī 
kyuuñ baḌhāte ho iḳhtilāt bahut 
ham ko tāqat nahīñ judā.ī kī 
muñh kahāñ tak chhupāoge ham se 
tum ko aadat hai ḳhud-numā.ī kī 
laag meñ haiñ lagāo kī bāteñ 
sulh meñ chheḌ hai laḌā.ī kī 
milte ġhairoñ se ho milo lekin 
ham se bāteñ karo safā.ī kī 
dil rahā pā-e-band-e-ulfat-e-dām 
thī abas aarzū rihā.ī kī 
dil bhī pahlū meñ ho to yaañ kis se 
rakhiye ummīd dilrubā.ī kī 
shahr o dariyā se baaġh o sahrā se 
bū nahīñ aatī āshnā.ī kī 
na milā koī ġhārat-e-īmāñ 
rah ga.ī sharm pārsā.ī kī 
baḳht-e-ham-dastāni-e-shaidā 
tū ne āḳhir ko nā-rasā.ī kī 
sohbat-e-gāh-gāhi-e-rashkī 
tū ne bhī ham se bevafā.ī kī 
maut kī tarah jis se Darte the 
saa.at aa pahuñchī us judā.ī kī 
zinda phirne kī hai havas 'hālī' 
intihā hai ye be-hayā.ī kī"
397,"dil ko dard-āshnā kiyā tū ne 
dard-e-dil ko davā kiyā tū ne 
tab-e-insāñ ko dī sirisht-e-vafā 
ḳhaak ko kīmiyā kiyā tū ne 
vasl-e-jānāñ muhāl Thahrāyā 
qatl-e-āshiq ravā kiyā tū ne 
thā na juz ġham bisāt-e-āshiq meñ 
ġham ko rāhat-fazā kiyā tū ne 
jaan thī ik vabāl furqat meñ 
shauq ko jāñ-guzā kiyā tū ne 
thī mohabbat meñ nañg minnat-e-ġhair 
jazb-e-dil ko rasā kiyā tū ne 
raah zāhid ko jab kahīñ na milī 
dar-e-mai-ḳhāna vā kiyā tū ne 
qat.a hone hī jab lagā paivand 
ġhair ko āshnā kiyā tū ne 
thī jahāñ kārvāñ ko denī raah 
ishq ko rahnumā kiyā tū ne 
naav bhar kar jahāñ Dubonī thī 
aql ko nāḳhudā kiyā tū ne 
baḌh ga.ī jab pidar ko mehr-e-pisar 
us ko us se judā kiyā tū ne 
jab huā mulk o maal rahzan-e-hosh 
bādshah ko gadā kiyā tū ne 
jab milī kām-e-jāñ ko lazzat-e-dard 
dard ko be-davā kiyā tū ne 
jab diyā rāh-rau ko zauq-e-talab 
sa.ī ko nā-rasā kiyā tū ne 
parda-e-chashm the hijāb bahut 
husn ko ḳhud-numā kiyā tū ne 
ishq ko tāb-e-intizār na thī 
ġhurfa ik dil meñ vā kiyā tū ne 
haram ābād aur dair ḳharāb 
jo kiyā sab bajā kiyā tū ne 
saḳht afsurda tab.a thī ahbāb 
ham ko jaadū navā kiyā tū ne 
phir jo dekhā to kuchh na thā yā rab 
kaun pūchhe ki kyā kiyā tū ne 
'hālī' uTThā hilā ke mahfil ko 
āḳhir apnā kahā kiyā tū ne"
398,"dil se ḳhayāl-e-dost bhulāyā na jā.egā 
siine meñ daaġh hai ki miTāyā na jā.egā 
tum ko hazār sharm sahī mujh ko laakh zabt 
ulfat vo raaz hai ki chhupāyā na jā.egā 
ai dil razā-e-ġhair hai shart-e-razā-e-dost 
zinhār bār-e-ishq uThāyā na jā.egā 
dekhī haiñ aisī un kī bahut mehrbāniyāñ 
ab ham se muñh meñ maut ke jaayā na jā.egā 
mai tund o zarf-e-hausla-e-ahl-e-bazm tañg 
saaqī se jaam bhar ke pilāyā na jā.egā 
raazī haiñ ham ki dost se ho dushmanī magar 
dushman ko ham se dost banāyā na jā.egā 
kyuuñ chheḌte ho zikr na milne kā raat ke 
pūchheñge ham sabab to batāyā na jā.egā 
bigḌeñ na baat baat pe kyuuñ jānte haiñ vo 
ham vo nahīñ ki ham ko manāyā na jā.egā 
milnā hai aap se to nahīñ hasr ġhair par 
kis kis se iḳhtilāt baḌhāyā na jā.egā 
maqsūd apnā kuchh na khulā lekin is qadar 
ya.anī vo DhūñDte haiñ jo paayā na jā.egā 
jhagḌoñ meñ ahl-e-dīñ ke na 'hālī' paḌeñ bas aap 
qissa huzūr se ye chukāyā na jā.egā"
399,"ġham-e-furqat hī meñ marnā ho to dushvār nahīñ 
shādi-e-vasl bhī āshiq ko sazā-vār nahīñ 
ḳhūb-rūī ke liye zishtī-e-ḳhū bhī hai zarūr 
sach to ye hai ki koī tujh sā tarah-dār nahīñ 
qaul dene meñ ta.ammul na qasam se inkār 
ham ko sachchā nazar aatā koī iqrār nahīñ 
kal ḳharābāt meñ ik goshe se aatī thī sadā 
dil meñ sab kuchh hai magar ruḳhsat-e-guftār nahīñ 
haq huā kis se adā us kī vafādārī kā 
jis ke nazdīk jafā bā.is-e-āzār nahīñ 
dekhte haiñ ki pahuñchtī hai vahāñ kaun sī raah 
ka.aba o dair se kuchh ham ko sarokār nahīñ 
hoñge qaa.il vo abhī matla-e-sānī sun kar 
jo tajallī meñ ye kahte haiñ ki takrār nahīñ"
400,"ghar hai vahshat-ḳhez aur bastī ujaaḌ 
ho ga.ī ek ik ghaḌī tujh bin pahāḌ 
aaj tak qasr-e-amal hai nā-tamām 
bañdh chukī hai bār-hā khul khul ke paaḌ 
hai pahuñchnā apnā choTī tak muhāl 
ai talab niklā bahut ūñchā pahāḌ 
khelnā aatā hai ham ko bhī shikār 
par nahīñ zāhid koī TaTTī kī aaḌ 
dil nahīñ raushan to haiñ kis kaam ke 
sau shabistāñ meñ agar raushan haiñ jhaaḌ 
iid aur nauroz hai sab dil ke saath 
dil nahīñ hāzir to duniyā hai ujaaḌ 
khet raste par hai aur rah-rau savār 
kisht hai sarsabz aur nīchī hai baaḌ 
baat vaa.iz kī koī pakḌī ga.ī 
in dinoñ kam-tar hai kuchh ham par latāḌ 
tum ne 'hālī' khol kar nāhaq zabāñ 
kar liyā saarī ḳhudā.ī se bigāḌ"
401,"go javānī meñ thī kaj-rā.ī bahut 
par javānī ham ko yaad aa.ī bahut 
zer-e-burqa.a tū ne kyā dikhlā diyā 
jam.a haiñ har sū tamāshā.ī bahut 
haT pe is kī aur pis jaate haiñ dil 
raas hai kuchh us ko ḳhud-rā.ī bahut 
sarv yā gul aañkh meñ jachte nahīñ 
dil pe hai naqsh us kī rānā.ī bahut 
chuur thā zaḳhmoñ meñ aur kahtā thā dil 
rāhat is taklīf meñ paa.ī bahut 
aa rahī hai chāh-e-yūsuf se sadā 
dost yaañ thoḌe haiñ aur bhaa.ī bahut 
vasl ke ho ho ke sāmāñ rah ga.e 
meñh na barsā aur ghaTā chhā.ī bahut 
jāñ-nisārī par vo bol uTThe mirī 
haiñ fidā.ī kam tamāshā.ī bahut 
ham ne har adnā ko aalā kar diyā 
ḳhāksārī apnī kaam aa.ī bahut 
kar diyā chup vāqi.āt-e-dahr ne 
thī kabhī ham meñ bhī goyā.ī bahut 
ghaT ga.iiñ ḳhud talḳhiyāñ ayyām kī 
yā ga.ī kuchh baḌh shakebā.ī bahut 
ham na kahte the ki 'hālī' chup raho 
rāst-goī meñ hai rusvā.ī bahut"
402,"hai justujū ki ḳhuub se hai ḳhūb-tar kahāñ 
ab Thahartī hai dekhiye jā kar nazar kahāñ 
haiñ daur-e-jām-e-avval-e-shab meñ ḳhudī se duur 
hotī hai aaj dekhiye ham ko sahar kahāñ 
yā rab is iḳhtilāt kā anjām ho ba-ḳhair 
thā us ko ham se rabt magar is qadar kahāñ 
ik umr chāhiye ki gavārā ho nīsh-e-ishq 
rakkhī hai aaj lazzat-e-zaḳhm-e-jigar kahāñ 
bas ho chukā bayāñ kasal-o-ranj-e-rāh kā 
ḳhat kā mire javāb hai ai nāma-bar kahāñ 
kaun o makāñ se hai dil-e-vahshī kanāra-gīr 
is ḳhānumāñ-ḳharāb ne DhūñDā hai ghar kahāñ 
ham jis pe mar rahe haiñ vo hai baat hī kuchh aur 
aalam meñ tujh se laakh sahī tū magar kahāñ 
hotī nahīñ qubūl duā tark-e-ishq kī 
dil chāhtā na ho to zabāñ meñ asar kahāñ 
'hālī' nashāt-e-naġhma-o-mai DhūñDhte ho ab 
aa.e ho vaqt-e-sub.h rahe raat bhar kahāñ"
403,"hai ye takiya tirī atāoñ par 
vahī isrār hai ḳhatāoñ par 
raheñ nā-āshnā zamāne se 
haq hai terā ye āshnāoñ par 
rahravo bā-ḳhabar raho ki gumāñ 
rahzanī kā hai rahnumāoñ par 
hai vo der āshnā to aib hai kyā 
marte haiñ ham inhīñ adāoñ par 
us ke kūche meñ haiñ vo be-par o baal 
uḌte phirte haiñ jo havāoñ par 
shahsavāroñ pe band hai jo raah 
vaqf hai yaañ barahna paañv par 
nahīñ mun.im ko us kī buuñd nasīb 
meñh barastā hai jo gadāoñ par 
nahīñ mahdūd baḳhshisheñ terī 
zāhidoñ par na pārsāoñ par 
haq se darḳhvāst afv kī 'hālī' 
kiije kis muñh se in ḳhatāoñ par"
404,"haq vafā ke jo ham jatāne lage 
aap kuchh kah ke muskurāne lage 
thā yahāñ dil meñ tān-e-vasl-e-adū 
uzr un kī zabāñ pe aane lage 
ham ko jiinā paḌegā furqat meñ 
vo agar himmat āzmāne lage 
Dar hai merī zabāñ na khul jaa.e 
ab vo bāteñ bahut banāne lage 
jaan bachtī nazar nahīñ aatī 
ġhair ulfat bahut jatāne lage 
tum ko karnā paḌegā uzr-e-jafā 
ham agar dard-e-dil sunāne lage 
saḳht mushkil hai sheva-e-taslīm 
ham bhī āḳhir ko jī churāne lage 
jī meñ hai luuñ razā-e-pīr-e-muġhāñ 
qāfile phir haram ko jaane lage 
sirr-e-bātin ko faash kar yā rab 
ahl-e-zāhir bahut satāne lage 
vaqt-e-ruḳhsat thā saḳht 'hālī' par 
ham bhī baiThe the jab vo jaane lage"
405,"haqīqat mahram-e-asrār se pūchh 
mazā añgūr kā mai-ḳhvār se pūchh 
vafā aġhyār kī aġhyār se sun 
mirī ulfat dar o dīvār se pūchh 
hamārī āh-e-be-tāsīr kā haal 
kuchh apne dil se kuchh aġhyār se pūchh 
diloñ meñ Dālnā zauq-e-asīrī 
kamand-e-gesū-e-ḳhamdār se pūchh 
dil-e-mahjūr se sun lazzat-e-vasl 
nashāt-e-āfiyat bīmār se pūchh 
nahīñ juz girya-e-ġham hāsil-e-ishq 
hamārī chashm-e-dariyā-bār se pūchh 
nahīñ āb-e-baqā juz jalva-e-dost 
kisī lab-tishna-e-dīdār se pūchh 
fareb-e-vāda-e-dildār kī qadr 
shahīd-e-ḳhanjar-e-inkār se pūchh 
fuġhān-e-shauq ko maane nahīñ vasl 
ye nukta andalīb-e-zār se pūchh 
tasavvur meñ kiyā karte haiñ jo ham 
vo tasvīr-e-ḳhayāl-e-yār se pūchh 
matā-e-be-bahā hai sher-e-'hālī' 
mirī qīmat mirī guftār se pūchh"
406,"hashr tak yaañ dil shakebā chāhiye 
kab mileñ dilbar se dekhā chāhiye 
hai tajallī bhī naqāb-e-rū-e-yār 
us ko kin āñkhoñ se dekhā chāhiye 
ġhair-mumkin hai na ho tāsīr-e-ġham 
hāl-e-dil phir us ko likkhā chāhiye 
hai dil-afgāroñ kī dildārī zarūr 
gar nahīñ ulfat madārā chāhiye 
hai kuchh ik baaqī ḳhalish ummīd kī 
ye bhī miT jaa.e to phir kyā chāhiye 
dostoñ kī bhī na ho parvā jise 
be-niyāzī us kī dekhā chāhiye 
bhā ga.e haiñ aap ke andāz o naaz 
kījiye iġhmāz jitnā chāhiye 
shaiḳh hai in kī nigah jaadū bharī 
sohbat-e-rindāñ se bachnā chāhiye 
lag ga.ī chup 'hālī'-e-ranjūr ko 
haal is kā kis se pūchhā chāhiye"
407,"ishq ko tark-e-junūñ se kyā ġharaz 
charḳh-e-gardāñ ko sukūñ se kyā ġharaz 
dil meñ hai ai ḳhizr gar sidaq-e-talab 
rāh-rau ko rah-numoñ se kyā ġharaz 
hājiyo hai ham ko ghar vaale se kaam 
ghar ke mehrāb o sutūñ se kyā ġharaz 
gungunā kar aap ro paḌte haiñ jo 
un ko chañg o arġhanūñ se kyā ġharaz 
nek kahnā nek jis ko dekhnā 
ham ko taftīsh-e-darūñ se kyā ġharaz 
dost haiñ jab zaḳhm-e-dil se be-ḳhabar 
un ko apne ashk-e-ḳhūñ se kyā ġharaz 
ishq se hai mujtanib zāhid abas 
sher ko said-e-zabūñ se kyā ġharaz 
kar chukā jab shaiḳh tasḳhīr-e-qulūb 
ab use duniyā-e-dūñ se kyā ġharaz 
aa.e ho 'hālī' pa.e-taslīm yaañ 
aap ko chūn-o-chagūñ se kyā ġharaz"
408,"jiite jī maut ke tum muñh meñ na jaanā hargiz 
dosto dil na lagānā na lagānā hargiz 
ishq bhī taak meñ baiThā hai nazar-bāzoñ kī 
dekhnā sher se āñkheñ na laḌānā hargiz 
haath malne na hoñ piirī meñ agar hasrat se 
to javānī meñ na ye rog basānā hargiz 
jitne raste the tire ho ga.e vīrāñ ai ishq 
aa ke vīrānoñ meñ ab ghar na basānā hargiz 
kuuch sab kar ga.e dillī se tire qadr-shanās 
qadr yaañ rah ke ab apnī na gañvānā hargiz 
tazkira dehli-e-marhūm kā ai dost na chheḌ 
na sunā jā.egā ham se ye fasāna hargiz 
DhūñDtā hai dil-e-shorīda bahāne mutrib 
dard-añgez ġhazal koī na gaanā hargiz 
sohbateñ aglī musavvir hameñ yaad ā.eñgī 
koī dilchasp muraqqā na dikhānā hargiz 
le ke daaġh aa.egā siine pe bahut ai sayyāh 
dekh is shahr ke khañDaroñ meñ na jaanā hargiz 
chappe chappe pe haiñ yaañ gauhar-e-yaktā tah-e-ḳhāk 
dafn hogā kahīñ itnā na ḳhazāna hargiz 
miT ga.e tere miTāne ke nishāñ bhī ab to 
ai falak is se ziyāda na miTānā hargiz 
vo to bhūle the hameñ ham bhī unheñ bhuul ga.e 
aisā badlā hai na badlegā zamāna hargiz 
ham ko gar tū ne rulāyā to rulāyā ai charḳh 
ham pe ġhairoñ ko to zālim na hañsānā hargiz 
āḳhirī daur meñ bhī tujh ko qasam hai saaqī 
bhar ke ik jaam na pyāsoñ ko pilānā hargiz 
baḳht so.e haiñ bahut jaag ke ai daur-e-zamāñ 
na abhī niind ke mātoñ ko jagānā hargiz 
kabhī ai ilm o hunar ghar thā tumhārā dillī 
ham ko bhūle ho to ghar bhuul na jaanā hargiz 
shā.irī mar chukī ab zinda na hogī yaaro 
yaad kar kar ke use jī na kuḌhānā hargiz 
'ġhālib' o 'shefta' o 'nayyar' o 'āzurda' o 'zauq' 
ab dikhā.egā ye shakleñ na zamānā hargiz 
'momin' o 'alvī' o 'sahbā.ī' o 'mamnūñ' ke baad 
sher kā naam na legā koī daanā hargiz 
kar diyā mar ke yagānoñ ne yagāna ham ko 
varna yaañ koī na thā ham meñ yagāna hargiz 
'dāġh' o 'majrūh' ko sun lo ki phir is gulshan meñ 
na sunegā koī bulbul kā tarāna hargiz 
raat āḳhir huī aur bazm huī zer-o-zabar 
ab na dekhoge kabhī lutf-e-shabāna hargiz 
bazm-e-mātam to nahīñ bazm-e-suḳhan hai 'hālī' 
yaañ munāsib nahīñ ro ro ke rulānā hargiz"
409,"junūñ kār-farmā huā chāhtā hai 
qadam dasht paimā huā chāhtā hai 
dam-e-girya kis kā tasavvur hai dil meñ 
ki ashk ashk dariyā huā chāhtā hai 
ḳhat aane lage shikva-āmez un ke 
milāp un se goyā huā chāhtā hai 
bahut kaam lene the jis dil se ham ko 
vo sarf-e-tamannā huā chāhtā hai 
abhī lene paa.e nahīñ dam jahāñ meñ 
ajal kā taqāzā huā chāhtā hai 
mujhe kal ke vaade pe karte haiñ ruḳhsat 
koī va.ada puurā huā chāhtā hai 
fuzūñ tar hai kuchh in dinoñ zauq-e-isyāñ 
dar-e-rahmat ab vā huā chāhtā hai 
qalaq gar yahī hai to rāz-e-nihānī 
koī din meñ rusvā huā chāhtā hai 
vafā shart-e-ulfat hai lekin kahāñ tak 
dil apnā bhī tujh sā huā chāhtā hai 
bahut haz uThātā hai dil tujh se mil kar 
qalaq dekhiye kyā huā chāhtā hai 
ġham-e-rashk ko talḳh samjhe the hamdam 
so vo bhī gavārā huā chāhtā hai 
bahut chain se din guzarte haiñ 'hālī' 
koī fitna barpā huā chāhtā hai"
410,"kabk o qumrī meñ hai jhagḌā ki chaman kis kā hai 
kal batā degī ḳhizāñ ye ki vatan kis kā hai 
faisla gardish-e-daurāñ ne kiyā hai sau baar 
marv kis kā hai badaḳhshān o ḳhutan kis kā hai 
dam se yūsuf ke jab ābād thā yāqūb kā ghar 
charḳh kahtā thā ki ye bait-e-huzan kis kā hai 
mutma.in is se musalmāñ na masīhī na yahūd 
dost kyā jāniye ye charḳh-e-kuhan kis kā hai 
vaa.iz ik aib se tū paak hai yā zāt-e-ḳhudā 
varna be-aib zamāne meñ chalan kis kā hai 
aaj kuchh aur dinoñ se hai sivā istiġhrāq 
azm-e-tasḳhīr phir ai sheḳh-e-zaman kis kā hai 
aañkh paḌtī hai har ik ahl-e-nazar kī tum par 
tum meñ ruup ai gul o nasrīn o saman kis kā hai 
ishq udhar aql idhar dhun meñ chale haiñ terī 
rasta ab dekhiye donoñ meñ kaThin kis kā hai 
shaan dekhī nahīñ gar tū ne chaman meñ us kī 
valvala tujh meñ ye ai murġh-e-chaman kis kā hai 
haiñ fasāhat meñ masal vaa.iz o 'hālī' donoñ 
dekhnā ye hai ki be-lāg suḳhan kis kā hai"
411,"kah do koī saaqī se ki ham marte haiñ pyāse 
gar mai nahīñ de zahr hī kā jaam balā se 
jo kuchh hai so hai us ke taġhāful kī shikāyat 
qāsid se hai takrār na jhagḌā hai sabā se 
dallāla ne ummīd dilā.ī to hai lekin 
dete nahīñ kuchh dil ko tasallī ye dilāse 
hai vasl to taqdīr ke haath ai shah-e-ḳhūbāñ 
yaañ haiñ to faqat terī mohabbat ke haiñ pyāse 
pyāse tire sar-gashta haiñ jo rāh-e-talab meñ 
hoñToñ ko vo karte nahīñ tar āb-e-baqā se 
dar guzre davā se to bharose pe duā ke 
dar guzreñ duā se bhī duā hai ye ḳhudā se 
ik dard ho bas aaTh pahar dil meñ ki jis ko 
taḳhfīf davā se ho na taskīn duā se 
'hālī' dil-e-insāñ meñ hai gum daulat-e-kaunain 
sharminda hoñ kyuuñ ġhair ke ehsān-o-atā se 
jab vaqt paḌe dījiye dastak dar-e-dil par 
jhukiye fuqarā se na jhamkiye umrā se"
412,"kar ke bīmār dī davā tū ne 
jaan se pahle dil liyā tū ne 
rah-rav-e-tishna-lab na ghabrānā 
ab liyā chashma-e-baqā tū ne 
shaiḳh jab dil hī dair meñ na lagā 
aa ke masjid se kyā liyā tū ne 
duur ho ai dil-e-ma.āl andesh 
kho diyā umr kā mazā tū ne 
ek begāna vaar kar ke nigāh 
kyā kiyā chashm-e-āshnā tū ne 
dil o diiñ kho ke aa.e the sū-e-dair 
yaañ bhī sab kuchh diyā ḳhudā tū ne 
ḳhush hai ummīd-e-ḳhuld par 'hālī' 
koī pūchhe ki kyā kiyā tū ne"
413,"ḳhūbiyāñ apne meñ go be-intihā paate haiñ ham 
par har ik ḳhūbī meñ daaġh ik aib kā paate haiñ ham 
ḳhauf kā koī nishāñ zāhir nahīñ afa.āl meñ 
go ki dil meñ muttasil ḳhauf-e-ḳhudā paate haiñ ham 
karte haiñ taa.at to kuchh ḳhvāhāñ numā.ish ke nahīñ 
par gunah chhup chhup ke karne meñ mazā paate haiñ ham 
diida o dil ko ḳhayānat se nahīñ rakh sakte baaz 
garche dast-o-pā ko aksar be-ḳhatā paate haiñ ham 
dil meñ dard-e-ishq ne muddat se kar rakkhā hai ghar 
par use ālūda-e-hirs-o-havā paate haiñ ham 
ho ke nādim jurm se phir jurm karte haiñ vahī 
jurm se go aap ko nādim sadā paate haiñ ham 
haiñ fidā un dostoñ par jin meñ ho sidq o safā 
par bahut kam aap meñ sidq o safā paate haiñ ham 
go kisī ko aap se hone nahīñ dete ḳhafā 
ik jahāñ se aap ko lekin ḳhafā paate haiñ ham 
jānte apne sivā sab ko haiñ be-mehr o vafā 
apne meñ gar shamma-e-mehr-o-vafā paate haiñ ham 
buḳhl se mansūb karte haiñ zamāne ko sadā 
gar kabhī taufīq-e-īsār o atā paate haiñ ham 
ho agar maqsad meñ nākāmī to kar sakte haiñ sabr 
dard-e-ḳhud-kāmī ko lekin be-davā paate haiñ ham 
Thaharte jaate haiñ jitne chashm-e-ālam meñ bhale 
haal nafs-e-dūñ kā utnā hī burā paate haiñ ham 
jis qadar jhuk jhuk ke milte haiñ buzurg o ḳhurd se 
kibr o naaz utnā hī apne meñ sivā paate haiñ ham 
go bhalā.ī karke ham-jinsoñ se ḳhush hotā hai jī 
tah-nashīñ us meñ magar durd-e-riyā paate haiñ ham 
hai ridā-e-nek-nāmī dosh par apne magar 
daaġh rusvā.ī ke kuchh zer-e-ridā paate haiñ ham 
raah ke tālib haiñ par be-rāh paḌte haiñ qadam 
dekhiye kyā DhūñDhte haiñ aur kyā paate haiñ ham 
nuur ke ham ne gale dekhe haiñ ai 'hālī' magar 
rañg kuchh terī alāpoñ meñ nayā paate haiñ ham"
414,"koī mahram nahīñ miltā jahāñ meñ 
mujhe kahnā hai kuchh apnī zabāñ meñ 
qafas meñ jī nahīñ lagtā kisī tarah 
lagā do aag koī āshiyāñ meñ 
koī din bul-havas bhī shaad ho leñ 
dharā kyā hai ishārāt-e-nihāñ meñ 
kahīñ anjām aa pahuñchā vafā kā 
ghulā jaatā huuñ ab ke imtihāñ meñ 
nayā hai lījiye jab naam us kā 
bahut vus.at hai merī dāstāñ meñ 
dil-e-pur-dard se kuchh kaam lūñgā 
agar fursat milī mujh ko jahāñ meñ 
bahut jī ḳhush huā 'hālī' se mil kar 
abhī kuchh log baaqī haiñ jahāñ meñ"
415,"maiñ to maiñ ġhair ko marne se ab inkār nahīñ 
ik qayāmat hai tire haath meñ talvār nahīñ 
kuchh patā manzil-e-maqsūd kā paayā ham ne 
jab ye jaanā ki hameñ tāqat-e-raftār nahīñ 
chashm-e-bad-dūr bahut phirte haiñ aġhyār ke saath 
ġhairat-e-ishq se ab tak vo ḳhabar-dār nahīñ 
ho chukā naaz uThāne meñ hai go kaam tamām 
lillāhil-hamd ki bāham koī takrār nahīñ 
muddatoñ rashk ne aġhyār se milne na diyā 
dil ne āḳhir ye diyā hukm ki kuchh aar nahīñ 
asl maqsūd kā har chiiz meñ miltā hai patā 
varna ham aur kisī shai ke talabgār nahīñ 
baat jo dil meñ chhupāte nahīñ bantī 'hālī' 
saḳht mushkil hai ki vo qābil-e-iz.hār nahīñ"
416,"ranj aur ranj bhī tanhā.ī kā 
vaqt pahuñchā mirī rusvā.ī kā 
umr shāyad na kare aaj vafā 
kāTnā hai shab-e-tanhā.ī kā 
tum ne kyuuñ vasl meñ pahlū badlā 
kis ko da.avā hai shakebā.ī kā 
ek din raah pe jā pahuñche ham 
shauq thā bādiya-paimā.ī kā 
us se nādān hī ban kar miliye 
kuchh ijāra nahīñ dānā.ī kā 
saat pardoñ meñ nahīñ Thahartī aañkh 
hausla kyā hai tamāshā.ī kā 
darmiyāñ pā-e-nazar hai jab tak 
ham ko da.avā nahīñ bīnā.ī kā 
kuchh to hai qadr tamāshā.ī kī 
hai jo ye shauq ḳhud-ārā.ī kā 
us ko chhoḌā to hai lekin ai dil 
mujh ko Dar hai tirī ḳhud-rā.ī kā 
bazm-e-dushman meñ na jī se utrā 
pūchhnā kyā tirī zebā.ī kā 
yahī anjām thā ai fasl-e-ḳhizāñ 
gul o bulbul kī shanāsā.ī kā 
madad ai jazba-e-taufīq ki yaañ 
ho chukā kaam tavānā.ī kā 
mohtasib uzr bahut haiñ lekin 
izn ham ko nahīñ goyā.ī kā 
hoñge 'hālī' se bahut āvāra 
ghar abhī duur hai rusvā.ī kā"
417,"us ke jaate hī ye kyā ho ga.ī ghar kī sūrat 
na vo dīvār kī sūrat hai na dar kī sūrat 
kis se paimān-e-vafā bāñdh rahī hai bulbul 
kal na pahchān sakegī gul-e-tar kī sūrat 
hai ġham-e-roz-e-judā.ī na nashāt-e-shab-e-vasl 
ho ga.ī aur hī kuchh shām-o-sahar kī sūrat 
apnī jeboñ se raheñ saare namāzī hushyār 
ik buzurg aate haiñ masjid meñ ḳhizar kī sūrat 
dekhiye shaiḳh musavvir se khiche yā na khiche 
sūrat aur aap se be-aib bashar kī sūrat 
vā.izo ātish-e-dozaḳh se jahāñ ko tum ne 
ye Darāyā hai ki ḳhud ban ga.e Dar kī sūrat 
kyā ḳhabar zāhid-e-qāne ko ki kyā chiiz hai hirs 
us ne dekhī hī nahīñ kīsa-e-zar kī sūrat 
maiñ bachā tīr-e-havādis se nishāna ban kar 
aaḌe aa.ī mirī taslīm-e-sipar kī sūrat 
shauq meñ us ke mazā dard meñ us ke lazzat 
nāseho us se nahīñ koī mafar kī sūrat 
hamla apne pe bhī ik bād-e-hazīmat hai zarūr 
rah ga.ī hai yahī ik fat.h o zafar kī sūrat 
rahnumāoñ ke hue jaate haiñ ausān ḳhatā 
raah meñ kuchh nazar aatī hai ḳhatar kī sūrat 
yuuñ to aayā hai tabāhī meñ ye beḌā sau baar 
par Darātī hai bahut aaj bhañvar kī sūrat 
un ko 'hālī' bhī bulāte haiñ ghar apne mehmāñ 
dekhnā aap kī aur aap ke ghar kī sūrat"
418,"vaañ agar jaa.eñ to le kar jaa.eñ kyā 
muñh use ham jā ke ye dikhlā.eñ kyā 
dil meñ hai baaqī vahī hirs-e-gunāh 
phir kiye se apne ham pachhtā.eñ kyā 
aao leñ us ko hamīñ jā kar manā 
us kī be-parvā.iyoñ par jaa.eñ kyā 
dil ko masjid se na mandir se hai uns 
aise vahshī ko kahīñ bahlā.eñ kyā 
jāntā duniyā ko hai ik khel tū 
khel qudrat ke tujhe dikhlā.eñ kyā 
umr kī manzil to juuñ tuuñ kaT ga.ī 
marhale ab dekhiye pesh aa.eñ kyā 
dil ko sab bātoñ kī hai nāseh ḳhabar 
samjhe samjhā.e ko bas samjhā.eñ kyā 
maan liije shaiḳh jo da.avā kare 
ik buzurg-e-dīñ ko ham jhuTlā.eñ kyā 
ho chuke 'hālī' ġhazal-ḳhvānī ke din 
rāgnī be-vaqt kī ab gaa.eñ kyā"
419,"vasl kā us ke dil-e-zār tamannā.ī hai 
na mulāqāt hai jis se na shanāsā.ī hai 
qat.a ummīd ne dil kar diye yaksū sad shukr 
shakl muddat meñ ye allāh ne dikhlā.ī hai 
quvvat-e-dast-e-ḳhudā.ī hai shakebā.ī meñ 
vaqt jab aa ke paḌā hai yahī kaam aa.ī hai 
Dar nahīñ ġhair kā jo kuchh hai so apnā Dar hai 
ham ne jab khaa.ī hai apne hī se zak khaa.ī hai 
nashe meñ chuur na hoñ jhāñjh meñ maḳhmūr na hoñ 
pand ye pīr-e-ḳharābāt ne farmā.ī hai 
nazar aatī nahīñ ab dil meñ tamannā koī 
baad muddat ke tamannā mirī bar aa.ī hai 
baat sachchī kahī aur uñgliyāñ uTThīñ sab kī 
sach meñ 'hālī' koī rusvā.ī sī rusvā.ī hai"
